Id,Sample_id,File_name,Default,Type,Severity,Label
1,2024001,blob_VoidCallInstruction.java,blob,Class,none,0
2,2024002,blob_InMemoryDataInputWrapper.java,blob,Class,none,0
3,2024003,blob_ImmutableEntry.java,blob,Class,none,0
4,2024004,blob_NativePointerLibraries.java,blob,Class,none,0
5,2024005,blob_GlobalMetadataJsonMerger.java,blob,Class,none,0
6,2024006,blob_GoldEventPrinterWithLabels.java,blob,Class,none,0
7,2024007,blob_FieldPrefixPrefixTupleReference.java,blob,Class,none,0
8,2024008,blob_GridROI.java,blob,Class,none,0
9,2024009,blob_TestStreamEvaluatorFactory.java,blob,Class,none,0
10,20240010,blob_RecomputePomDiagnosticsCommand.java,blob,Class,none,0
11,20240011,blob_MavenWarningSection.java,blob,class,minor,1
12,20240012,blob_AccessRoleCreatorImpl.java,blob,Class,none,0
13,20240013,blob_Customer1208.java,blob,Class,none,0
14,20240014,blob_RdfUtils.java,blob,Class,none,0
15,20240015,blob_ConstantPool.java,blob,Class,none,0
16,20240016,blob_CpuUsageDistributionGoal.java,blob,Class,none,0
17,20240017,blob_APIRequestCreateAuthorizedAdAccount.java,blob,Class,none,0
18,20240018,blob_RandomForestClassifierTrainer.java,blob,Class,none,0
19,20240019,blob_FXGMatrix.java,blob,Class,none,0
20,20240020,blob_BuildTargetException.java,blob,Class,none,0
21,20240021,blob_ResultWritable.java,blob,Class,none,0
22,20240022,blob_GenericConnectionStatusHtmlCreator.java,blob,class,minor,1
23,20240023,blob_CompositeActorAddFeature.java,blob,Class,none,0
24,20240024,blob_MIMEBindingValidator.java,blob,Class,none,0
25,20240025,blob_GlyphPainter2.java,blob,class,minor,1
26,20240026,blob_ArchivaMetadataCreationConsumer.java,blob,class,minor,1
27,20240027,blob_BasicPanelUI.java,blob,Class,none,0
28,20240028,blob__ListIsolationSegmentSpacesRelationshipResponse.java,blob,Class,none,0
29,20240029,blob_ServerResource.java,blob,Class,none,0
30,20240030,blob__ConfigurationSettingsServiceSoapService.java,blob,class,critical,1
31,20240031,blob_Options.java,blob,Class,none,0
32,20240032,blob_OutboundChannelAdapterGraphicalEditPart.java,blob,Class,none,0
33,20240033,blob_HtmlSpecialTag.java,blob,Class,none,0
34,20240034,blob_KdcUdpTransport.java,blob,Class,none,0
35,20240035,blob_MacOSXSocketOptions.java,blob,Class,none,0
36,20240036,blob_HttpsTokenInInterceptor.java,blob,class,major,1
37,20240037,blob_AbstractBrokerRegistration.java,blob,Class,none,0
38,20240038,blob_WindowedProcessorBolt.java,blob,Class,none,0
39,20240039,blob_AppService.java,blob,class,minor,1
40,20240040,blob_InstagramInsightsValue.java,blob,Class,none,0
41,20240041,blob_AbstractOAuth2ApiBinding.java,blob,class,minor,1
42,20240042,blob_FieldTypeRequiredException.java,blob,Class,none,0
43,20240043,blob_PCLDocumentHandlerMaker.java,blob,Class,none,0
44,20240044,blob_JavaThreadsToolBar.java,blob,Class,none,0
45,20240045,blob_WorksetPlaceHolder.java,blob,Class,none,0
46,20240046,blob_DebugTraceBasedRegion.java,blob,Class,none,0
47,20240047,blob_ConvertTree.java,blob,Class,none,0
48,20240048,blob_RequestValidateHost.java,blob,Class,none,0
49,20240049,blob_JPADynRealmMembership.java,blob,Class,none,0
50,20240050,blob_EscalateContainerKey.java,blob,Class,none,0
51,20240051,blob_FileExtensionFilter.java,blob,Class,none,0
52,20240052,blob_MouseObservationEvent.java,blob,Class,none,0
53,20240053,blob_TestId.java,blob,Class,none,0
54,20240054,blob_LocalMessageManager.java,blob,Class,none,0
55,20240055,blob_SecretKeyEntry.java,blob,Class,none,0
56,20240056,blob_EntryIterator.java,blob,Class,none,0
57,20240057,blob_RFC3339Utils.java,blob,Class,none,0
58,20240058,blob_JAXRSOutInterceptor.java,blob,class,critical,1
59,20240059,blob_InvalidACLException.java,blob,Class,none,0
60,20240060,blob_CallbackCompleteResponse.java,blob,Class,none,0
61,20240061,blob_LinuxThread.java,blob,Class,none,0
62,20240062,blob_ARMQdaddTranslator.java,blob,Class,none,0
63,20240063,blob_JGitInfoCommand.java,blob,Class,none,0
64,20240064,blob_BaremetalPingPxeResource.java,blob,Class,none,0
65,20240065,blob_AppInitializer.java,blob,Class,none,0
66,20240066,blob_Customer1149.java,blob,Class,none,0
67,20240067,blob_PropertyHandleInputDialog.java,blob,Class,none,0
68,20240068,blob_EndpointDiscoverer.java,blob,class,critical,1
69,20240069,blob_DemoControls.java,blob,class,major,1
70,20240070,blob_OSS.java,blob,Class,none,0
71,20240071,blob_NamesCommand.java,blob,Class,none,0
72,20240072,blob_FileFilter.java,blob,Class,none,0
73,20240073,blob_Operator.java,blob,Class,none,0
74,20240074,blob_EdmNull.java,blob,Class,none,0
75,20240075,blob_ApplicationResource.java,blob,class,major,1
76,20240076,blob_XPathParser.java,blob,class,minor,1
77,20240077,blob_ValidEmail.java,blob,Class,none,0
78,20240078,blob_FeatureRankAsc.java,blob,Class,none,0
79,20240079,blob_MemoryIterator.java,blob,Class,none,0
80,20240080,blob_MailboxAnnotationManager.java,blob,Class,none,0
81,20240081,blob_ReleaseSettings.java,blob,Class,none,0
82,20240082,blob_ArtifactDiscoveryListener.java,blob,Class,none,0
83,20240083,blob_ToPagedIterable.java,blob,Class,none,0
84,20240084,blob_TrimAction.java,blob,class,minor,1
85,20240085,blob_LocksFeatureUI.java,blob,class,minor,1
86,20240086,blob_Exchanger.java,blob,Class,none,0
87,20240087,blob_IServer.java,blob,Class,none,0
88,20240088,blob_KeyComparator.java,blob,Class,none,0
89,20240089,blob_FalseEquals.java,blob,Class,none,0
90,20240090,blob__AdministrationWebServiceSoap_QueryBuildAgentsByUri.java,blob,Class,none,0
91,20240091,blob_LinkageError.java,blob,Class,none,0
92,20240092,blob_RawJsonDeserializer.java,blob,Class,none,0
93,20240093,blob_JobRunner.java,blob,Class,none,0
94,20240094,blob_LLVMNullerReadVisitor.java,blob,Class,none,0
95,20240095,blob_ExistingEnumElements.java,blob,Class,none,0
96,20240096,blob_RegexMapper.java,blob,Class,none,0
97,20240097,blob_JspCalendar.java,blob,Class,none,0
98,20240098,blob_TagTag.java,blob,Class,none,0
99,20240099,blob_HelloREEFEnvironment.java,blob,Class,none,0
100,202400100,blob_BundleSymbolicName.java,blob,Class,none,0
101,202400101,blob_DockerRunDialog.java,blob,class,minor,1
102,202400102,blob_CayenneGeneratorMojo.java,blob,class,major,1
103,202400103,blob_HCatEventMessage.java,blob,Class,none,0
104,202400104,blob_RegexIdentityAssertionFilter.java,blob,Class,none,0
105,202400105,blob_DefaultLoggerProxy.java,blob,Class,none,0
106,202400106,blob_VersionAction.java,blob,Class,none,0
107,202400107,blob_WantPropertyElement.java,blob,class,minor,1
108,202400108,blob_XtextResourceFactory.java,blob,Class,none,0
109,202400109,blob_MonoWhen.java,blob,class,major,1
110,202400110,blob_SimpleNode.java,blob,Class,none,0
111,202400111,blob_POSTaggerNameFeatureGenerator.java,blob,Class,none,0
112,202400112,blob_Perms.java,blob,Class,none,0
113,202400113,blob_StageException.java,blob,Class,none,0
114,202400114,blob_EC2ImageSupplier.java,blob,Class,none,0
115,202400115,blob_MongoStoragePluginConfig.java,blob,Class,none,0
116,202400116,blob_CharCodingSupport.java,blob,Class,none,0
117,202400117,blob_WordMedian.java,blob,class,minor,1
118,202400118,blob_XMLDOMWriterImpl.java,blob,class,major,1
119,202400119,blob_FXGeometryAttachmentTester.java,blob,Class,none,0
