Id,Sample_id,File_name,Default,Type,Severity,Label
1,2024001,long method_LinearDumper#addUTF8Region StructurePointer|String|String|AbstractPointer.java,long method,function,minor,1
2,2024002,long method_JdbcStatement#executeUpdate String.java,long method,function,minor,1
3,2024003,long method_AbstractFOPImageElementBridge#createImageGraphicsNode BridgeContext|Element|ParsedURL.java,long method,function,major,1
4,2024004,long method_reconfigureNetworking.java,long method,function,major,1
5,2024005,long method_RoyaleLibPropertiesHandler#startElement String|String|String|Attributes.java,long method,function,minor,1
6,2024006,long method_DseTypeSyntaxChecker#isValidSyntax Object.java,long method,function,major,1
7,2024007,long method_UnsafeIntegerFieldAccessorImpl#set Object|Object.java,long method,function,minor,1
8,2024008,long method_LocationCacheManager#findServicesByToolID String.java,long method,function,minor,1
9,2024009,long method_PathParser#validateArrayStep String.java,long method,function,major,1
10,20240010,long method_OdbcRequestHandler#doHandle OdbcRequest.java,long method,function,minor,1
11,20240011,long method_MailManager#processEmail EmailData.java,long method,function,minor,1
12,20240012,long method_InternalCrossReferenceProposalTestLanguageLexer#mRULE_ML_COMMENT.java,long method,function,minor,1
13,20240013,long method_VersioningFileProvider#getPageInfo String|int.java,long method,function,major,1
14,20240014,long method_RegistryServerHandler#updateExperiment String|ExperimentModel.java,long method,function,major,1
15,20240015,long method_parse Reader|EventLoggerProvider.java,long method,function,critical,1
16,20240016,long method_HttpClientTransaction#writeTransactionResponse ResponseCode|String.java,long method,function,major,1
17,20240017,long method_AffirmativeBased#decide Authentication|Object|Collection<ConfigAttribute>.java,long method,function,minor,1
18,20240018,long method_weaveDir File|String|String|String.java,long method,function,major,1
19,20240019,long method_DupsCursor#afterValue K|V.java,long method,function,minor,1
20,20240020,long method_MasterDetailsPairTester#checkAlternativeConstructor.java,long method,function,minor,1
21,20240021,long method_ChunkStepController#positionWriterAtCheckpoint.java,long method,function,minor,1
22,20240022,long method_TimedElement#removeInstanceTime InstanceTime|boolean.java,long method,function,minor,1
23,20240023,long method_SequenceTypeMatcher#matchesAllInstances SequenceType.java,long method,function,minor,1
24,20240024,long method_stringToClass String.java,long method,function,minor,1
25,20240025,long method_initialize.java,long method,function,minor,1
26,20240026,long method_XMLSchemaLoader#reset XMLComponentManager.java,long method,function,major,1
27,20240027,long method_negate DimFilter.java,long method,function,minor,1
28,20240028,long method_MethodWriter#resizeInstructions.java,long method,function,critical,1
29,20240029,long method_LineSeriesMarkerSheet#createButtonGroup Group.java,long method,function,minor,1
30,20240030,long method_H2ResultSetIterator#fetchNext.java,long method,function,minor,1
31,20240031,long method_ConvertCompoundGraph#visit DirectedGraph.java,long method,function,minor,1
