Id,Sample_id,File_name,Default,Type,Severity,Label
1,2024000,DynamicElementNS.java,poltergeist,Class,none,0
2,2024001,BuildLogger.java,poltergeist,Class,none,0
3,2024002,BuildException.java,poltergeist,Class,none,0
4,2024003,DynamicConfiguratorNS.java,poltergeist,Class,none,0
5,2024004,DynamicAttribute.java,poltergeist,Class,none,0
6,2024005,AntTypeDefinition.java,poltergeist,Class,none,0
7,2024006,DynamicConfigurator.java,poltergeist,Class,none,0
8,2024007,DemuxOutputStream.java,poltergeist,Class,none,0
9,2024008,ExitStatusException.java,poltergeist,Class,none,1
10,2024009,SpecialSeq.java,poltergeist,Class,none,0
11,20240010,NoBannerLogger.java,poltergeist,Class,none,0
12,20240011,DynamicAttributeNS.java,poltergeist,Class,none,0
13,20240012,ExitException.java,poltergeist,Class,none,1
14,20240013,Diagnostics.java,poltergeist,Class,none,0
15,20240014,MagicNames.java,poltergeist,Class,none,1
16,20240015,IntrospectionHelper.java,poltergeist,Class,none,0
17,20240016,DynamicElement.java,poltergeist,Class,none,0
18,20240017,BuildListener.java,poltergeist,Class,none,0
19,20240018,AssertionTest.java,poltergeist,Class,none,0
20,20240019,DemuxInputStream.java,poltergeist,Class,none,0
21,20240020,DefaultLogger.java,poltergeist,Class,none,0
22,20240021,Task1.java,poltergeist,Class,none,0
23,20240022,PathTokenizer.java,poltergeist,Class,none,0
24,20240023,Main.java,poltergeist,Class,none,0
25,20240024,DirectoryScanner.java,poltergeist,Class,none,0
26,20240025,FileScanner.java,poltergeist,Class,none,0
27,20240026,AntClassLoader.java,poltergeist,Class,none,0
28,20240027,ComponentHelper.java,poltergeist,Class,none,0
29,20240028,BuildEvent.java,poltergeist,Class,none,1
30,20240029,Location.java,poltergeist,Class,none,0
31,20240030,Basename.java,poltergeist,Class,none,0
32,20240031,ProjectHelper.java,poltergeist,Class,none,0
33,20240032,BuildNumber.java,poltergeist,Class,none,0
34,20240033,TaskContainer.java,poltergeist,Class,none,0
35,20240034,CVSPass.java,poltergeist,Class,none,0
36,20240035,AntClassLoader2.java,poltergeist,Class,none,0
37,20240036,XmlLogger.java,poltergeist,Class,none,0
38,20240037,Chmod.java,poltergeist,Class,none,0
39,20240038,AntXMLContext.java,poltergeist,Class,none,0
40,20240039,Copyfile.java,poltergeist,Class,none,0
41,20240040,StripJavaComments.java,poltergeist,Class,none,0
42,20240041,Ant.java,poltergeist,Class,none,0
43,20240042,Copy.java,poltergeist,Class,none,0
44,20240043,BUnzip2.java,poltergeist,Class,none,0
45,20240044,BaseFilterReader.java,poltergeist,Class,none,0
46,20240045,LineContains.java,poltergeist,Class,none,0
47,20240046,TypeAdapter.java,poltergeist,Class,none,0
48,20240047,StringInputStream.java,poltergeist,Class,none,1
49,20240048,AntlibDefinition.java,poltergeist,Class,none,1
50,20240049,PrefixLines.java,poltergeist,Class,none,0
51,20240050,MultipleChoiceInputRequest.java,poltergeist,Class,none,0
52,20240051,ConditionTask.java,poltergeist,Class,none,0
53,20240052,InputRequest.java,poltergeist,Class,none,0
54,20240053,EscapeUnicode.java,poltergeist,Class,none,0
55,20240054,PropertyHelper.java,poltergeist,Class,none,0
56,20240055,Launcher.java,poltergeist,Class,none,0
57,20240056,Delete.java,poltergeist,Class,none,0
58,20240057,Exec.java,poltergeist,Class,none,0
59,20240058,DefaultInputHandler.java,poltergeist,Class,none,0
60,20240059,InputHandler.java,poltergeist,Class,none,0
61,20240060,Available.java,poltergeist,Class,none,0
62,20240061,ChainableReader.java,poltergeist,Class,none,0
63,20240062,TailFilter.java,poltergeist,Class,none,0
64,20240063,Dirname.java,poltergeist,Class,none,0
65,20240064,Execute.java,poltergeist,Class,none,0
66,20240065,LaunchException.java,poltergeist,Class,none,0
67,20240066,HeadFilter.java,poltergeist,Class,none,0
68,20240067,TaskAdapter.java,poltergeist,Class,none,0
69,20240068,ChainReaderHelper.java,poltergeist,Class,none,0
70,20240069,DefaultExcludes.java,poltergeist,Class,none,0
71,20240070,Target.java,poltergeist,Class,none,0
72,20240071,Copydir.java,poltergeist,Class,none,0
73,20240072,CommonsLoggingListener.java,poltergeist,Class,none,0
74,20240073,BZip2.java,poltergeist,Class,none,0
75,20240074,MailLogger.java,poltergeist,Class,none,0
76,20240075,Locator.java,poltergeist,Class,none,0
77,20240076,ClassConstants.java,poltergeist,Class,none,0
78,20240077,Project.java,poltergeist,Class,none,0
79,20240078,AntStructure.java,poltergeist,Class,none,0
80,20240079,SubBuildListener.java,poltergeist,Class,none,0
81,20240080,Ear.java,poltergeist,Class,none,0
82,20240081,ProjectComponent.java,poltergeist,Class,none,0
83,20240082,Cvs.java,poltergeist,Class,none,0
84,20240083,ProjectHelperImpl.java,poltergeist,Class,none,0
85,20240084,Concat.java,poltergeist,Class,none,0
86,20240085,Echo.java,poltergeist,Class,none,0
87,20240086,StripLineBreaks.java,poltergeist,Class,none,0
88,20240087,AntMain.java,poltergeist,Class,none,0
89,20240088,Task.java,poltergeist,Class,none,0
90,20240089,JavaClassHelper.java,poltergeist,Class,none,0
91,20240090,ConcatFilter.java,poltergeist,Class,none,0
92,20240091,ExpandProperties.java,poltergeist,Class,none,0
93,20240092,ReplaceTokens.java,poltergeist,Class,none,0
94,20240093,ExecuteJava.java,poltergeist,Class,none,0
95,20240094,CallTarget.java,poltergeist,Class,none,0
96,20240095,ExecuteStreamHandler.java,poltergeist,Class,none,0
97,20240096,DependSet.java,poltergeist,Class,none,0
98,20240097,AbstractCvsTask.java,poltergeist,Class,none,0
99,20240098,TokenFilter.java,poltergeist,Class,none,0
100,20240099,Log4jListener.java,poltergeist,Class,none,0
101,202400100,Checksum.java,poltergeist,Class,none,0
102,202400101,RuntimeConfigurable.java,poltergeist,Class,none,0
103,202400102,DefBase.java,poltergeist,Class,none,0
104,202400103,BaseParamFilterReader.java,poltergeist,Class,none,0
105,202400104,AnsiColorLogger.java,poltergeist,Class,none,0
106,202400105,UnknownElement.java,poltergeist,Class,none,0
107,202400106,LineContainsRegExp.java,poltergeist,Class,none,0
108,202400107,PropertyFileInputHandler.java,poltergeist,Class,none,0
109,202400108,Deltree.java,poltergeist,Class,none,0
110,202400109,ExecuteWatchdog.java,poltergeist,Class,none,0
111,202400110,ProjectHelper2.java,poltergeist,Class,none,0
112,202400111,ExecuteOn.java,poltergeist,Class,none,0
113,202400112,TabsToSpaces.java,poltergeist,Class,none,0
114,202400113,Antlib.java,poltergeist,Class,none,0
115,202400114,ExecTask.java,poltergeist,Class,none,0
116,202400115,StripLineComments.java,poltergeist,Class,none,0
117,202400116,Definer.java,poltergeist,Class,none,0
118,202400117,GenerateKey.java,poltergeist,Class,none,0
119,202400118,Nice.java,poltergeist,Class,none,0
120,202400119,FixCRLF.java,poltergeist,Class,none,0
121,202400120,Sequential.java,poltergeist,Class,none,0
122,202400121,GUnzip.java,poltergeist,Class,none,0
123,202400122,JavacExternal.java,poltergeist,Class,none,0
124,202400123,LogStreamHandler.java,poltergeist,Class,none,0
125,202400124,KeySubst.java,poltergeist,Class,none,0
126,202400125,PreSetDef.java,poltergeist,Class,none,0
127,202400126,Taskdef.java,poltergeist,Class,none,0
128,202400127,CompilerAdapter.java,poltergeist,Class,none,0
129,202400128,JikesOutputParser.java,poltergeist,Class,none,0
130,202400129,TaskOutputStream.java,poltergeist,Class,none,0
131,202400130,Untar.java,poltergeist,Class,none,0
